comment_text,argument_text,label
"Yes, Under god should certainly be in the Pledge. This was a christian nation when we started. Most people misinterpret the phrase freedom of religion. Back then there was only one religion and that was christian so freedom of christian religion to be catholic baptist etc...  Think people It is mandatory.","The principles of democracy regulate that the wishes of American Christians, who are a majority, are honored",1
"Yes, Under god should certainly be in the Pledge. This was a christian nation when we started. Most people misinterpret the phrase freedom of religion. Back then there was only one religion and that was christian so freedom of christian religion to be catholic baptist etc...  Think people It is mandatory.",Under God is part of American tradition and history,1
"It is divisive, has nothing to do with patriotism, and is an affront to the separation between religion and government written into the U.S. Constitution.",Separation of state and religion,1
"Our country was founded on the principle that all good things come from God and that while everyone is free to pray or not pray to that God, we all recognize that we are one nation, under God, given certain unalienable rights by our creator.",Under God is part of American tradition and history,1
"Freedom of religion also includes those who do not believe in anything, including a god. God has no place in any government funded organization.  I do not care where we came from, or where I go when I die. I am only good for the sake of being good. By leaving under god in the pledge our children are hearing a phrase which is not true in any form. No one is under god since there is no proof one exist. It is a pointless addition to the pledge, which is otherwise a statement our children are taught at a very early age. I refused to say the pledge completely because of the under god phrase, and I was left alone because no one wanted to battle with my Atheist father.",Likely to be seen as a state-sanctioned condemnation of religion,1
"Freedom of religion also includes those who do not believe in anything, including a god. God has no place in any government funded organization.  I do not care where we came from, or where I go when I die. I am only good for the sake of being good. By leaving under god in the pledge our children are hearing a phrase which is not true in any form. No one is under god since there is no proof one exist. It is a pointless addition to the pledge, which is otherwise a statement our children are taught at a very early age. I refused to say the pledge completely because of the under god phrase, and I was left alone because no one wanted to battle with my Atheist father.",Removing under god would promote religious tolerance,1
"Freedom of religion also includes those who do not believe in anything, including a god. God has no place in any government funded organization.  I do not care where we came from, or where I go when I die. I am only good for the sake of being good. By leaving under god in the pledge our children are hearing a phrase which is not true in any form. No one is under god since there is no proof one exist. It is a pointless addition to the pledge, which is otherwise a statement our children are taught at a very early age. I refused to say the pledge completely because of the under god phrase, and I was left alone because no one wanted to battle with my Atheist father.",Separation of state and religion,1
"God belongs in church and not in our government, courts or schools. We need to stop using the bible to swear in govenment officials, we need to remove god from our currency and from the pledge. Why, because God has no place in any of them. People claim that yes, children have the right to refrain from saying the pledge in school or ommit the words under god, but children are not capable of makin a decision on what to them seems like an obligation, which is to stand and recite the pledge. I am an adult and I still feel strange to stand there and not recite when the rest of them do. It feels like you are being forced to do something you don't want to do. ",Separation of state and religion,1
"Can an unbeliever be patriotic? Not according to religious conservatives, it seems. They wish, no, they demand that we retain 'under God' in the pledge of allegiance. They want patriotism and faith in God to be a package deal without the option of separation. Thus, unbelievers are deemed unpatriotic. This is a slap in the face to all the atheists, agnostics and other unbelievers who proudly served this country in law enforcement, fire departments and military. Let's make the pledge for all Americans, believers and unbelievers alike. The pledge should not be the exclusive property of the religious.",Likely to be seen as a state-sanctioned condemnation of religion,1
"Can an unbeliever be patriotic? Not according to religious conservatives, it seems. They wish, no, they demand that we retain 'under God' in the pledge of allegiance. They want patriotism and faith in God to be a package deal without the option of separation. Thus, unbelievers are deemed unpatriotic. This is a slap in the face to all the atheists, agnostics and other unbelievers who proudly served this country in law enforcement, fire departments and military. Let's make the pledge for all Americans, believers and unbelievers alike. The pledge should not be the exclusive property of the religious.",Separation of state and religion,1
"I am 15. I'm in high school. I am not religious. I respect everyone's beliefs even if I disagree, however I do not force my beliefs on others, and I lose respect for someone else's opinion when they shove it in my face. I do not believe that God should be used in anything children are forced to memorize and blindly repeat. We are brainwashing our children. We need to teach them to think for themselves, not through the government. Also, children shouldn't be forced to pledge to a country. Teach the children to analyze their country when they are old enough then let THEM decide if they wish to pledge to their country. I for one am glad I live in America, but I am not proud of my country and don't want to pledge to it, let alone a god that I don't believe in. God may be real to some, but he is not real to me. I respect those that believe in God and they need to respect those that are different than them.",Separation of state and religion,1
"no because it is demeaning to a pagan like myself being forced to pledge our alegience to a country AND a god that we do not believe in. And in the moment of silence our teacher tells us to pray to god. @ smitty, the country was also founded on Freedom of speeech press and religion",Separation of state and religion,1
"This country was not founded under the christian religion or any religion at that. This is the land of the free, not the land of the Hey lets brain wash our students... Religion is one of the biggest scams nowadays... You donate money to the church when we all know that if there was a Higher Power, our currency would do nothing for them or it. Religion is not any better than the government and its been that way for a loooong time now.",Separation of state and religion,1
"I've noticed some pro-people saying, We can't force our religion on others, but atheists can force theirs on us? Technically speaking, Atheism isn't a religion, just the lack of one. So really, we're not forcing any sort of religion on you, we just want to have yours removed from the Pledge.   Andddddd, done.",Separation of state and religion,1
"No, the counrty was founded on the very Idea of religious freedom and NOT on Christianity like most believe. The founding fathers were secular, and created a secular country. The words under god weren't added until the 1950's as anti-soviet propaganda, as the USSR endorsed non-religion. While I don't have a problem saying it, I think it is more a matter of principle, as it is a glaring violation of the !st ammendment in one of the most common practices in the United States today.",Separation of state and religion,1
"One merely run through a search engine Danbury Baptist and Jefferson's Letter to see why there is a wall of separation between Church and State. The Danbury (Conn.) Baptist Association was concerned the power of government would be used to enforce religious rule. The I Amendment exists just as much to protect religion from the depredations of government as the other way around.nnOne can use as a simple rule of thumb the following: if one believes his position is not religious privilege then it should be acceptable to substitute any other religious view. For example, in the case of the pledge, how many Christians would object to One Nation, Under Krishna?nnThe Bill of Rights do not exist to protect majority privilege, the majority do not need protection. They exist to protect the minority from the tyranny of democracy. Rights are not something one votes on, they are either rights, shared by all, or they are privileges, which those in power confer on others.nnAs a (now-disabled) vet, I swore to uphold the Constitution. Not any religious faith. By upholding the Constitution, all of faith may hold the faith they choose, even though I personally feel faith (belief without good evidence) is -not- a virtue.",Separation of state and religion,1
"We are a nation formed by men of faith, reflecting the Creator. The words under God give allegiance to Him, which has become very necessary in our current world.",Under God is part of American tradition and history,1
"Religion has nothing in common with the basis the United States was founded on: separation of church and state. Because of events like the Salem witch trials, the Founding Fathers deemed that religion should not interfere with government, and stated so in the establishment clause of the First Amendment.  The reason the words under God were added after World War II is because of something very similar to the Salem witch trials: McCarthyism. Except then, people with any relation communism were the ones hunted and blacklisted by a corrupt government. The Cold War has ended, as has the religious intolerance and paranoia, so these words have no place in the Pledge, if they ever did at all.",Separation of state and religion,1
"Other than the fact that it has a better sound, I believe that there is no, and there was no, reason to have it in the pledge.  It was added during the communist scare, simply because of hysteria at the time.  While the majority of the US are Christian, we are NOT a Christian nation, and our founders set it up that way on purpose.  The personal religious beliefs of the ones who are writing the laws should not be included in those laws. In fact, it is stated in the 1st Amendment that it can't be.",Likely to be seen as a state-sanctioned condemnation of religion,1
"Other than the fact that it has a better sound, I believe that there is no, and there was no, reason to have it in the pledge.  It was added during the communist scare, simply because of hysteria at the time.  While the majority of the US are Christian, we are NOT a Christian nation, and our founders set it up that way on purpose.  The personal religious beliefs of the ones who are writing the laws should not be included in those laws. In fact, it is stated in the 1st Amendment that it can't be.",Separation of state and religion,1
"I believe that the statement about God in the pledge should be eliminated. In order to create unity in our nation we shouldn't be forcing someone else's God onto people. Also, adding the phrase Under God was a decision made to widen the gap between us and the Soviet Union. It wasn't put there to honor god or make us any better. Furthermore, we should seperate church from state. Its the law.",Likely to be seen as a state-sanctioned condemnation of religion,1
"I believe that the statement about God in the pledge should be eliminated. In order to create unity in our nation we shouldn't be forcing someone else's God onto people. Also, adding the phrase Under God was a decision made to widen the gap between us and the Soviet Union. It wasn't put there to honor god or make us any better. Furthermore, we should seperate church from state. Its the law.",Removing under god would promote religious tolerance,1
"I believe that the statement about God in the pledge should be eliminated. In order to create unity in our nation we shouldn't be forcing someone else's God onto people. Also, adding the phrase Under God was a decision made to widen the gap between us and the Soviet Union. It wasn't put there to honor god or make us any better. Furthermore, we should seperate church from state. Its the law.",Separation of state and religion,1
We should follow the Constitution and keep Church and State Separate.  Religion is just another form of control over the simple minded.,Separation of state and religion,1
"Those words have been part of our Pledge of Allegiance since the beginning and I don't think we should dismantle it because of those uber-sensitive who think we are corrupting our children.  I am agnostic myself, but it does not offend me to recite those words.",Under God is part of American tradition and history,1
